1,159,0,0,128,1,7,2,0.686,62.7
1,159,0,1,128,1,7,2,0.663,63.8
1,159,0,2,128,1,7,2,0.655,64.1
1,159,0,3,128,1,7,2,0.651,63.9
1,159,0,4,128,1,7,2,0.645,64.2
1,159,0,5,128,1,7,2,0.643,64.0
1,159,0,6,128,1,7,2,0.643,63.9
1,159,0,7,128,1,7,2,0.642,63.9
1,159,0,8,128,1,7,2,0.641,63.5
1,159,0,9,128,1,7,2,0.64,63.6
1,159,0,10,128,1,7,2,0.642,62.9
1,159,0,11,128,1,7,2,0.636,63.0
1,159,0,12,128,1,7,2,0.641,63.2
1,159,0,13,128,1,7,2,0.639,63.1
1,159,0,14,128,1,7,2,0.638,63.2
1,159,0,15,128,1,7,2,0.635,63.1
1,159,0,16,128,1,7,2,0.64,62.8
1,159,0,17,128,1,7,2,0.637,62.6
1,159,0,18,128,1,7,2,0.637,62.6
1,159,0,19,128,1,7,2,0.636,62.9
1,159,0,20,128,1,7,2,0.635,62.5
1,159,0,21,128,1,7,2,0.636,62.5
1,159,0,22,128,1,7,2,0.637,62.6
1,159,0,23,128,1,7,2,0.636,61.8
1,159,0,24,128,1,7,2,0.635,62.7
1,159,1,0,128,1,7,2,0.687,51.4
1,159,1,1,128,1,7,2,0.684,53.3
1,159,1,2,128,1,7,2,0.669,57.6
1,159,1,3,128,1,7,2,0.656,61.7
1,159,1,4,128,1,7,2,0.652,60.9
1,159,1,5,128,1,7,2,0.649,60.7
1,159,1,6,128,1,7,2,0.65,61.3
1,159,1,7,128,1,7,2,0.647,60.3
1,159,1,8,128,1,7,2,0.645,60.4
1,159,1,9,128,1,7,2,0.646,61.1
1,159,1,10,128,1,7,2,0.647,61.0
1,159,1,11,128,1,7,2,0.647,60.3
1,159,1,12,128,1,7,2,0.645,60.1
1,159,1,13,128,1,7,2,0.644,59.7
1,159,1,14,128,1,7,2,0.645,59.7
1,159,1,15,128,1,7,2,0.643,60.4
1,159,1,16,128,1,7,2,0.644,60.3
